"name_tbl","name_fld","format_4_05","format_4_06","is_active_format_4_06"
,,,Файл^Документ^СвИП^СвЛицензия^СвПриостЛиц^ГРНИПДатаИспр^@ГРНИП,true
,,,Файл^Документ^СвИП^СвЛицензия^СвПриостЛиц^ГРНИПДатаИспр^@ДатаЗаписи,true
s_individual_entrepreneur_licenses_info,svlizenzia_grnipdata_grnip,,Файл^Документ^СвИП^СвЛицензия^ГРНИПДата^@ГРНИП,true
s_individual_entrepreneur_licenses_info,svlizenzia_nomliz,,Файл^Документ^СвИП^СвЛицензия^@НомЛиц,true
s_individual_entrepreneur_main_info,ogrnip,,Файл^Документ^СвИП^@ОГРНИП,true
s_individual_entrepreneur_licenses_info,svlizenzia_datanacliz,,Файл^Документ^СвИП^СвЛицензия^@ДатаНачЛиц,true
s_individual_entrepreneur_licenses_info,svlizenzia_dataliz,,Файл^Документ^СвИП^СвЛицензия^@ДатаЛиц,true
s_individual_entrepreneur_email_info,hash_diff,,hash_func,true
,,,Файл^Документ^СвИП^СвЗапЕГРИП^СвРегОрг^@КодНО,true
,,,Файл^Документ^СвИП^СвЗапЕГРИП^СвРегОрг^@НаимНО,true
,,,Файл^Документ^СвИП^СвЗапЕГРИП^СвСвид^ГРНИПДатаСвидНед^@ГРНИП,true
,,,Файл^Документ^СвИП^СвЗапЕГРИП^СвСвид^ГРНИПДатаСвидНед^@ДатаЗаписи,true
,,,Файл^Документ^СвИП^СвЗапЕГРИП^ГРНИПДатаИспрПред^@ИдЗап,true
,,,Файл^Документ^СвИП^СвЗапЕГРИП^ГРНИПДатаИспрПред^@ГРНИП,true
,,,Файл^Документ^СвИП^СвЗапЕГРИП^ГРНИПДатаИспрПред^@ДатаЗап,true
,,,Файл^Документ^СвИП^СвЗапЕГРИП^СвСтатусЗап^ГРНИПДатаИспр^@ИдЗап,true
,,,Файл^Документ^СвИП^СвЗапЕГРИП^СвСтатусЗап^ГРНИПДатаИспр^@ГРНИП,true
,,,Файл^Документ^СвИП^СвЗапЕГРИП^СвСтатусЗап^ГРНИПДатаИспр^@ДатаЗап,true
h_individual_entrepreneur_egrip_main,individual_entrepreneur_pk,,hash_func,true
h_individual_entrepreneur_egrip_main,load_dtm,,now_f,true
h_individual_entrepreneur_egrip_main,rec_src,,EGRIP,true
h_individual_entrepreneur_egrip_main,statement_dt,,statement_dt,true
h_individual_entrepreneur_egrip_main,ogrnip,,Файл^Документ^СвИП^@ОГРНИП,true
h_individual_entrepreneur_egrip_main,ogrnip_dt,,Файл^Документ^СвИП^@ДатаОГРНИП,true
h_individual_entrepreneur_egrip_main,innfl,,Файл^Документ^СвИП^@ИННФЛ,true
